method,λ,group_balance,epoch,train_loss,overall_acc,wga,worst_group,eqodd,acc_NonBlond_Female,acc_NonBlond_Male,acc_Blond_Female,acc_Blond_Male
ERM,0.0,none,1,0.4784,0.8441,0.0000,Blond_Male,0.0020,0.9982,0.9963,0.0014,0.0000
ERM,0.0,none,2,0.2174,0.9410,0.3132,Blond_Male,0.5403,0.9338,0.9926,0.8535,0.3132
ERM,0.0,none,3,0.1371,0.9471,0.3626,Blond_Male,0.5104,0.9394,0.9936,0.8730,0.3626
ERM,0.0,none,4,0.1269,0.9480,0.3626,Blond_Male,0.5191,0.9386,0.9935,0.8817,0.3626
ERM,0.0,none,5,0.1230,0.9485,0.3571,Blond_Male,0.5225,0.9407,0.9935,0.8796,0.3571
ERM,0.0,none,6,0.1218,0.9484,0.3516,Blond_Male,0.5262,0.9409,0.9936,0.8779,0.3516
ERM,0.0,none,7,0.1197,0.9491,0.3571,Blond_Male,0.5280,0.9402,0.9935,0.8852,0.3571
ERM,0.0,none,8,0.1160,0.9491,0.3846,Blond_Male,0.5145,0.9351,0.9934,0.8991,0.3846
ERM,0.0,none,9,0.1136,0.9510,0.3626,Blond_Male,0.5211,0.9439,0.9946,0.8838,0.3626
ERM,0.0,none,10,0.1117,0.9510,0.3736,Blond_Male,0.5095,0.9443,0.9942,0.8831,0.3736
FSC,1.5,none,1,7.2998,0.8436,0.0000,Blond_Male,0.0030,0.9982,0.9953,0.0010,0.0000
FSC,1.5,none,2,6.5431,0.9374,0.2143,Blond_Male,0.5707,0.9477,0.9957,0.7850,0.2143
FSC,1.5,none,3,6.2879,0.9436,0.3242,Blond_Male,0.5182,0.9432,0.9928,0.8424,0.3242
FSC,1.5,none,4,6.2361,0.9467,0.3626,Blond_Male,0.5024,0.9428,0.9920,0.8650,0.3626
FSC,1.5,none,5,6.2148,0.9477,0.3626,Blond_Male,0.5079,0.9431,0.9920,0.8706,0.3626
FSC,1.5,none,6,6.2089,0.9480,0.3626,Blond_Male,0.5044,0.9449,0.9921,0.8671,0.3626
FSC,1.5,none,7,6.2002,0.9492,0.3956,Blond_Male,0.4826,0.9432,0.9921,0.8782,0.3956
FSC,1.5,none,8,6.1763,0.9493,0.4231,Blond_Male,0.4621,0.9413,0.9914,0.8852,0.4231
FSC,1.5,none,9,6.1594,0.9504,0.4066,Blond_Male,0.4688,0.9459,0.9931,0.8754,0.4066
FSC,1.5,none,10,6.1502,0.9506,0.4176,Blond_Male,0.4627,0.9447,0.9929,0.8803,0.4176
FSC,1.5,oversampling,1,8.0480,0.8408,0.0021,Blond_Female,0.0144,0.9960,0.9901,0.0021,0.0165
FSC,1.5,oversampling,2,6.6382,0.8741,0.8323,NonBlond_Female,0.0547,0.8323,0.8870,0.9582,0.9121
FSC,1.5,oversampling,3,6.2310,0.8944,0.8610,NonBlond_Female,0.0452,0.8610,0.9062,0.9572,0.9341
FSC,1.5,oversampling,4,6.1472,0.9031,0.8736,NonBlond_Female,0.0412,0.8736,0.9148,0.9551,0.9341
FSC,1.5,oversampling,5,6.1056,0.9041,0.8746,NonBlond_Female,0.0413,0.8746,0.9159,0.9548,0.9451
FSC,1.5,oversampling,6,6.0995,0.9000,0.8678,NonBlond_Female,0.0441,0.8678,0.9119,0.9582,0.9451
FSC,1.5,oversampling,7,6.0695,0.9072,0.8783,NonBlond_Female,0.0408,0.8783,0.9190,0.9569,0.9451
FSC,1.5,oversampling,8,6.0228,0.9030,0.8698,NonBlond_Female,0.0464,0.8698,0.9163,0.9603,0.9505
FSC,1.5,oversampling,9,5.9850,0.9132,0.8842,NonBlond_Female,0.0439,0.8842,0.9281,0.9551,0.9341
FSC,1.5,oversampling,10,5.9419,0.9096,0.8773,NonBlond_Female,0.0475,0.8773,0.9248,0.9603,0.9341
FSC,1.5,reweighting,1,6.9316,0.8407,0.0017,Blond_Female,0.0092,0.9963,0.9899,0.0017,0.0110
FSC,1.5,reweighting,2,6.3588,0.8166,0.7473,Blond_Male,0.1369,0.7895,0.8227,0.8841,0.7473
FSC,1.5,reweighting,3,6.1902,0.8639,0.8210,NonBlond_Female,0.1136,0.8210,0.8815,0.9433,0.8297
FSC,1.5,reweighting,4,6.1446,0.8766,0.8374,NonBlond_Female,0.0982,0.8374,0.8922,0.9499,0.8516
FSC,1.5,reweighting,5,6.1244,0.8798,0.8415,NonBlond_Female,0.0811,0.8415,0.8933,0.9548,0.8736
FSC,1.5,reweighting,6,6.1187,0.8837,0.8472,NonBlond_Female,0.0845,0.8472,0.8977,0.9527,0.8681
FSC,1.5,reweighting,7,6.1107,0.8900,0.8581,NonBlond_Female,0.0664,0.8581,0.8997,0.9565,0.8901
FSC,1.5,reweighting,8,6.0883,0.8963,0.8681,NonBlond_Female,0.0427,0.8681,0.9047,0.9548,0.9121
FSC,1.5,reweighting,9,6.0719,0.8978,0.8692,NonBlond_Female,0.0369,0.8692,0.9061,0.9569,0.9286
FSC,1.5,reweighting,10,6.0642,0.8983,0.8712,NonBlond_Female,0.0335,0.8712,0.9048,0.9579,0.9341
