method,¦Ë,group_balance,epoch,train_loss,overall_acc,wga,worst_group,eqodd,acc_MouthNonOpen_NonSmiling,acc_MouthNonOpen_Smiling,acc_MouthOpen_NonSmiling,acc_MouthOpen_Smiling
ERM,0,none,1,0.9047,0.5174,0.0061,MouthOpen_Smiling,0.0041,0.9919,0.996,0.0067,0.0061
ERM,0,none,2,0.5025,0.8913,0.5793,MouthOpen_NonSmiling,0.369,0.9329,0.8672,0.5793,0.9483
ERM,0,none,3,0.2478,0.9183,0.7242,MouthOpen_NonSmiling,0.242,0.9357,0.8932,0.7242,0.9662
ERM,0,none,4,0.2103,0.9244,0.7452,MouthOpen_NonSmiling,0.2225,0.9406,0.9038,0.7452,0.9677
ERM,0,none,5,0.2011,0.925,0.7859,MouthOpen_NonSmiling,0.1867,0.9302,0.8897,0.7859,0.9726
ERM,0,none,6,0.1972,0.9271,0.7608,MouthOpen_NonSmiling,0.2099,0.9405,0.9029,0.7608,0.9707
ERM,0,none,7,0.191,0.9305,0.7845,MouthOpen_NonSmiling,0.1883,0.9396,0.9056,0.7845,0.9729
ERM,0,none,8,0.1819,0.9318,0.8069,MouthOpen_NonSmiling,0.1705,0.9344,0.8989,0.8069,0.9774
ERM,0,none,9,0.1774,0.9337,0.7921,MouthOpen_NonSmiling,0.1844,0.9417,0.9064,0.7921,0.9766
ERM,0,none,10,0.1731,0.9346,0.8024,MouthOpen_NonSmiling,0.1752,0.94,0.9069,0.8024,0.9776
FSC,1.5,none,1,7.904,0.517,0.006,MouthOpen_Smiling,0.0046,0.991,0.9956,0.0067,0.006
FSC,1.5,none,2,7.1682,0.869,0.5315,MouthOpen_NonSmiling,0.396,0.916,0.846,0.5315,0.9275
FSC,1.5,none,3,6.0619,0.9171,0.7282,MouthOpen_NonSmiling,0.237,0.9311,0.8981,0.7282,0.9652
FSC,1.5,none,4,5.8069,0.9237,0.7658,MouthOpen_NonSmiling,0.2014,0.9324,0.9082,0.7658,0.9671
FSC,1.5,none,5,5.7477,0.9245,0.8073,MouthOpen_NonSmiling,0.1657,0.9208,0.8967,0.8073,0.973
FSC,1.5,none,6,5.7208,0.9269,0.785,MouthOpen_NonSmiling,0.1843,0.9329,0.9082,0.785,0.9693
FSC,1.5,none,7,5.6863,0.9292,0.8064,MouthOpen_NonSmiling,0.1658,0.9306,0.9064,0.8064,0.9722
FSC,1.5,none,8,5.6338,0.93,0.8198,MouthOpen_NonSmiling,0.1556,0.9271,0.902,0.8198,0.9755
FSC,1.5,none,9,5.6071,0.9321,0.8131,MouthOpen_NonSmiling,0.1622,0.9326,0.9078,0.8131,0.9753
FSC,1.5,none,10,5.5751,0.9324,0.819,MouthOpen_NonSmiling,0.1583,0.9305,0.906,0.819,0.9772
FSC,1.5,oversampling,1,8.0891,0.5172,0.0057,MouthOpen_Smiling,0.0049,0.9915,0.9965,0.0067,0.0057
FSC,1.5,oversampling,2,7.3266,0.8796,0.7997,MouthOpen_NonSmiling,0.1359,0.8445,0.9011,0.7997,0.9357
FSC,1.5,oversampling,3,6.4750,0.9104,0.8610,MouthOpen_NonSmiling,0.0992,0.8759,0.9197,0.8610,0.9602
FSC,1.5,oversampling,4,6.3097,0.9149,0.8619,MouthOpen_NonSmiling,0.1000,0.8844,0.9237,0.8619,0.9618
FSC,1.5,oversampling,5,6.2811,0.9154,0.8744,MouthOpen_NonSmiling,0.0904,0.8799,0.9219,0.8744,0.9648
FSC,1.5,oversampling,6,6.2691,0.9152,0.8771,MouthOpen_NonSmiling,0.0883,0.8783,0.9214,0.8771,0.9654
FSC,1.5,oversampling,7,6.2387,0.9181,0.8820,MouthOpen_NonSmiling,0.0857,0.8824,0.9197,0.8820,0.9677
FSC,1.5,oversampling,8,6.2085,0.9225,0.8806,MouthOpen_NonSmiling,0.0880,0.8924,0.9214,0.8806,0.9686
FSC,1.5,oversampling,9,6.1761,0.9238,0.8838,MouthOpen_NonSmiling,0.0869,0.8920,0.9245,0.8838,0.9707
FSC,1.5,oversampling,10,6.1474,0.9257,0.8797,MouthOpen_NonSmiling,0.0918,0.8967,0.9254,0.8797,0.9715
FSC,1.5,reweighting,1,7.6624,0.5170,0.0059,MouthOpen_Smiling,0.0047,0.9909,0.9956,0.0076,0.0059
FSC,1.5,reweighting,2,7.1007,0.8094,0.6348,MouthOpen_NonSmiling,0.2266,0.8000,0.8473,0.6348,0.8614
FSC,1.5,reweighting,3,6.0990,0.9033,0.8243,MouthOpen_NonSmiling,0.1370,0.8734,0.8989,0.8243,0.9613
FSC,1.5,reweighting,4,5.7980,0.9128,0.8422,MouthOpen_NonSmiling,0.1215,0.8854,0.9144,0.8422,0.9637
FSC,1.5,reweighting,5,5.7330,0.9103,0.8663,MouthOpen_NonSmiling,0.1031,0.8698,0.9051,0.8663,0.9695
FSC,1.5,reweighting,6,5.7048,0.9145,0.8525,MouthOpen_NonSmiling,0.1133,0.8853,0.9135,0.8525,0.9658
FSC,1.5,reweighting,7,5.6687,0.9174,0.8690,MouthOpen_NonSmiling,0.1003,0.8838,0.9157,0.8690,0.9693
FSC,1.5,reweighting,8,5.6147,0.9189,0.8798,MouthNonOpen_NonSmiling,0.0899,0.8798,0.9144,0.8838,0.9737
FSC,1.5,reweighting,9,5.5874,0.9213,0.8797,MouthOpen_NonSmiling,0.0929,0.8875,0.9157,0.8797,0.9726
FSC,1.5,reweighting,10,5.5552,0.9225,0.8864,MouthNonOpen_NonSmiling,0.0878,0.8864,0.9144,0.8873,0.9752
